  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
    62      44   1.39063790e-08   4.74823655e-01
    62      45   1.38431938e-06   8.10353256e-01
    62      46   1.84598517e-08   5.54781140e-01
    62      47   2.11089834e-08   6.42494471e-01
    62      48   1.48760480e-08   6.40071047e-01
    62      49   2.56973539e-08   6.40797246e-01
    62      50   1.69575473e-08   6.47437138e-01
    63       1   2.79412256e-02   7.77073350e-01
    63       2   3.21391145e-05   2.13725978e+01
    63       3   3.18692370e-05   2.86343942e-02
    63       4   1.47455675e-06   1.04536186e+00
    63       5   4.15068305e-07   2.78716687e-01
    63       6   6.72856049e-07   1.55903170e-02
    63       7   2.56845037e-08   1.13216028e-03
    64       1   2.62187631e-02   1.00000000e+00
